Starting backup at Thu Dec 25 11:49:50 CST 2025
Source: /jenquist-cloud
Destination: b2-encrypted:
---
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/lzegrep: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/which.it1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/emblem-vendor-symbolic-scalable: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/view.da.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/lzfgrep.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/view.it.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/ex: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/lzdiff.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/desktop-login-background: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia--libcuda.so.1-x86_64-linux-gnu: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/traceproto.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/view.de.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/lzdiff: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/view.ru.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/rmt: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/emblem-vendor-64: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/ebtables-save: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia--nvidia-settings: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/vi.ja.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/vi.pl.1.gz: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/start-here-32.png: Can't follow symlink without -L/--copy-links
2025/12/25 11:49:52 NOTICE: backups/rsnapshot/alpha.1/localhost/etc/alternatives/nvidia--nvidia_drv.so: Can't follow symlink without -L/--copy-links
